img,label
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-2_RepCond-2_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-3_RepCond-2_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-4_RepCond-1_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-1_Cond-4_RepCond-2_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-2_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-2_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-2_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-2_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-2_Cond-3_RepCond-2_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-2_Cond-4_RepCond-1_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-2_Cond-4_RepCond-2_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-2_RepCond-2_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-3_RepCond-2_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-4_RepCond-1_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-3_Cond-4_RepCond-2_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-2_RepCond-2_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-3_RepCond-2_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-4_RepCond-1_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-4_Cond-4_RepCond-2_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-5_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-5_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-5_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-5_Cond-2_RepCond-2_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-5_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-5_Cond-4_RepCond-1_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-5_Cond-4_RepCond-2_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-2_RepCond-2_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-3_RepCond-2_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-4_RepCond-1_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-08_Run-6_Cond-4_RepCond-2_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-2_RepCond-2_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-3_RepCond-2_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-4_RepCond-1_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-1_Cond-4_RepCond-2_Vol-0-26-27.nii.gz,3
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-2_Cond-1_RepCond-1_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-2_Cond-1_RepCond-2_Vol-0-26-27.nii.gz,0
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-2_Cond-2_RepCond-1_Vol-0-26-27.nii.gz,1
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-2_Cond-3_RepCond-1_Vol-0-26-27.nii.gz,2
/Users/hanwang/Desktop/data_temp/data-brain-conv-dividedattn-wangetal/dat_validate/sub-13_Run-2_Cond-3_RepCond-2_Vol-0-26-27.nii.gz,2
